wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
887,1.217,0.8594,2.507,0.01749,,,
888,1.219,0.862,2.516,0.01728,,,
889,1.222,0.8645,2.525,0.01707,,,
890,1.224,0.867,2.534,0.01685,,,
891,1.226,0.8694,2.543,0.01664,,,
892,1.228,0.8718,2.551,0.01642,,,
893,1.229,0.8742,2.56,0.01621,,,
894,1.231,0.8765,2.569,0.01599,,,
895,1.232,0.8787,2.578,0.01578,,,
896,1.234,0.8807,2.587,0.01556,,,
897,1.236,0.8827,2.596,0.01535,,,
898,1.238,0.8846,2.604,0.01513,,,
899,1.24,0.8863,2.613,0.01491,,,
900,1.241,0.888,2.622,0.01469,,,
901,1.243,0.8897,2.63,0.01447,,,
902,1.245,0.891,2.639,0.01425,,,
903,1.246,0.8923,2.648,0.01403,,,
904,1.248,0.8936,2.656,0.01381,,,
905,1.25,0.8944,2.664,0.01358,,,
906,1.251,0.8952,2.673,0.01336,,,
907,1.252,0.8959,2.681,0.01313,,,
908,1.253,0.8962,2.689,0.0129,,,
909,1.254,0.8965,2.698,0.01267,,,
910,1.255,0.8968,2.706,0.01244,,,
911,1.256,0.8964,2.714,0.0122,,,
912,1.257,0.8957,2.722,0.01197,,,
913,1.258,0.8951,2.73,0.01173,,,
914,1.259,0.8942,2.738,0.01149,,,
915,1.26,0.8931,2.746,0.01125,,,
916,1.26,0.892,2.753,0.011,,,
917,1.26,0.8904,2.761,0.01076,,,
918,1.261,0.8885,2.769,0.01051,,,
919,1.261,0.8866,2.776,0.01025,,,
920,1.261,0.8844,2.784,0.01,,,
921,1.261,0.8817,2.792,0.009743,,,
922,1.262,0.879,2.799,0.009484,,,
923,1.262,0.876,2.806,0.009223,,,
924,1.262,0.8726,2.814,0.008961,,,
925,1.263,0.8691,2.821,0.008698,,,
926,1.263,0.8655,2.828,0.008435,,,
927,1.263,0.8613,2.835,0.008172,,,
928,1.263,0.8571,2.842,0.00791,,,
929,1.263,0.8528,2.849,0.007649,,,
930,1.263,0.848,2.856,0.00739,,,
931,1.263,0.8432,2.863,0.007133,,,
932,1.263,0.8382,2.869,0.006878,,,
933,1.263,0.8324,2.876,0.006627,,,
934,1.263,0.8265,2.882,0.00638,,,
935,1.262,0.8207,2.888,0.006137,,,
936,1.261,0.8143,2.894,0.005898,,,
937,1.26,0.808,2.9,0.005665,,,
938,1.259,0.8016,2.905,0.005437,,,
939,1.259,0.7945,2.911,0.005215,,,
940,1.258,0.7874,2.916,0.005,,,
941,1.258,0.7802,2.921,0.004792,,,
942,1.257,0.7727,2.926,0.004591,,,
943,1.256,0.7651,2.931,0.004397,,,
944,1.255,0.7575,2.935,0.004209,,,
945,1.254,0.7493,2.94,0.004028,,,
946,1.252,0.741,2.944,0.003853,,,
947,1.251,0.7327,2.948,0.003685,,,
948,1.25,0.7241,2.952,0.003522,,,
949,1.249,0.7154,2.956,0.003366,,,
950,1.248,0.7068,2.959,0.003216,,,
951,1.247,0.6982,2.963,0.003071,,,
952,1.246,0.6896,2.966,0.002931,,,
953,1.244,0.681,2.969,0.002798,,,
954,1.242,0.6715,2.972,0.002669,,,
955,1.241,0.6616,2.975,0.002546,,,
956,1.239,0.6517,2.978,0.002427,,,
957,1.237,0.642,2.981,0.002313,,,
958,1.235,0.6324,2.983,0.002204,,,
959,1.233,0.6229,2.986,0.0021,,,
960,1.231,0.6133,2.988,0.002,,,
961,1.228,0.6037,2.99,0.001904,,,
962,1.226,0.5941,2.992,0.001813,,,
963,1.224,0.5843,2.994,0.001725,,,
964,1.222,0.5745,2.996,0.001641,,,
965,1.22,0.5647,2.998,0.001561,,,
966,1.218,0.555,3,0.001485,,,
967,1.215,0.5453,3.002,0.001412,,,
968,1.213,0.5357,3.003,0.001342,,,
969,1.211,0.5261,3.005,0.001276,,,
970,1.209,0.5166,3.006,0.001212,,,
971,1.207,0.5071,3.008,0.001151,,,
972,1.205,0.4976,3.009,0.001093,,,
973,1.203,0.488,3.01,0.001038,,,
974,1.2,0.4785,3.012,0.0009849,,,
975,1.197,0.4691,3.013,0.0009342,,,
976,1.194,0.4597,3.014,0.0008857,,,
977,1.192,0.4504,3.015,0.0008392,,,
978,1.189,0.4413,3.016,0.0007945,,,
979,1.186,0.4323,3.017,0.0007516,,,
980,1.183,0.4233,3.018,0.0007103,,,
981,1.18,0.4146,3.019,0.0006704,,,
982,1.177,0.4061,3.02,0.0006318,,,
983,1.174,0.3975,3.021,0.0005944,,,
984,1.17,0.3892,3.022,0.0005581,,,
985,1.165,0.381,3.023,0.0005226,,,
986,1.16,0.3729,3.024,0.0004878,,,
987,1.156,0.3648,3.025,0.0004537,,,
988,1.152,0.3567,3.026,0.00042,,,
989,1.149,0.3487,3.027,0.0003866,,,
990,1.146,0.3409,3.028,0.0003534,,,
991,1.142,0.3334,3.029,0.0003202,,,
992,1.138,0.3259,3.03,0.000287,,,
993,1.134,0.3187,3.031,0.0002534,,,
994,1.13,0.3117,3.033,0.0002195,,,
995,1.126,0.3047,3.034,0.0001851,,,
996,1.122,0.2978,3.035,0.00015,,,
997,1.118,0.2909,3.036,0.0001141,,,
998,1.114,0.2841,3.037,7.718E-05,,,
999,1.11,0.2776,3.039,3.921E-05,,,
