wavelengths,oxyhemoglobin,deoxyhemoglobin,methemoglobin,carboxyhemoglobin,eumelanin,yc1a,yc2a
545,55.97,47.57,23.33,53.37,1.0685,0.078064,0.085949
546,54.76,48.6,22.84,52.32,1.0607,0.077516,0.085299
547,53.18,49.52,22.31,51.16,1.053,0.076949,0.084677
548,51.36,50.36,21.75,50,1.0453,0.076371,0.084084
549,49.44,51.15,21.19,48.94,1.0377,0.075794,0.083515
550,47.48,51.84,20.64,48,1.0301,0.075226,0.08297
551,45.5,52.4,20.1,47.18,1.0227,0.074678,0.082446
552,43.6,52.84,19.58,46.5,1.0153,0.074158,0.08194
553,41.85,53.18,19.09,45.96,1.008,0.073677,0.08145
554,40.24,53.4,18.64,45.5,1.0008,0.073243,0.080975
555,38.73,53.47,18.22,45.2,0.9936,0.07286,0.080514
556,37.35,53.44,17.83,45.5,0.98654,0.072523,0.080068
557,36.16,53.35,17.49,46.09,0.97955,0.072228,0.079637
558,35.21,53.16,17.19,46.8,0.97265,0.07197,0.079222
559,34.55,52.84,16.92,47.58,0.96583,0.071744,0.078822
560,34.22,52.44,16.7,48.5,0.9591,0.071546,0.078437
561,34.22,52,16.52,49.61,0.95245,0.071371,0.078069
562,34.5,51.52,16.38,50.8,0.94589,0.071215,0.077717
563,35.08,50.97,16.26,51.98,0.93941,0.071072,0.077381
564,35.94,50.36,16.17,53.2,0.93302,0.070939,0.077062
565,37.08,49.71,16.11,54.49,0.92672,0.070811,0.07676
566,38.46,49,16.08,55.7,0.92051,0.070685,0.076476
567,40.09,48.22,16.06,56.67,0.91438,0.070561,0.076209
568,42,47.4,16.04,57.21,0.90835,0.070439,0.075959
569,44.22,46.55,16.04,57.22,0.90241,0.070318,0.075726
570,46.72,45.68,16.04,56.82,0.89656,0.070199,0.075507
571,49.42,44.77,16.04,56.15,0.89081,0.070081,0.075302
572,52.2,43.84,16.04,55.17,0.88515,0.069964,0.075108
573,54.93,42.9,16.04,53.81,0.87958,0.069848,0.074925
574,57.48,41.96,16.04,52,0.87411,0.069733,0.07475
575,59.67,41.02,16.04,49.72,0.86874,0.069618,0.074583
576,61.14,40.08,16.02,47.04,0.86346,0.069503,0.074421
577,61.6,39.16,15.99,44.09,0.85828,0.069389,0.074264
578,61.12,38.26,15.94,40.96,0.8532,0.069275,0.074109
579,59.35,37.4,15.89,37.76,0.84822,0.06916,0.073956
580,56.56,36.56,15.82,34.55,0.84334,0.069045,0.073802
581,53.15,35.74,15.72,31.4,0.83856,0.06893,0.073647
582,49.2,34.94,15.6,28.36,0.83388,0.068814,0.073488
583,44.75,34.14,15.47,25.5,0.8293,0.068698,0.073326
584,40.04,33.33,15.32,22.84,0.82483,0.068581,0.073161
585,35.36,32.49,15.16,20.41,0.82046,0.068464,0.072992
586,30.87,31.61,14.98,18.2,0.8162,0.068347,0.072821
587,26.7,30.68,14.8,16.23,0.81204,0.068229,0.072646
588,22.91,29.69,14.61,14.47,0.808,0.06811,0.072468
589,19.55,28.63,14.42,12.92,0.80405,0.067991,0.072287
590,16.62,27.5,14.23,11.56,0.80022,0.067871,0.072103
591,14.12,26.31,14.05,10.37,0.79648,0.067751,0.071916
592,12,25.08,13.87,9.32,0.79283,0.06763,0.071726
593,10.22,23.81,13.7,8.401,0.78927,0.067508,0.071533
594,8.74,22.52,13.54,7.596,0.78577,0.067386,0.071338
595,7.51,21.21,13.4,6.89,0.78234,0.067263,0.07114
596,6.496,19.9,13.28,6.268,0.77896,0.067139,0.07094
597,5.662,18.62,13.16,5.716,0.77563,0.067015,0.070737
598,4.96,17.37,13.06,5.228,0.77233,0.06689,0.070532
599,4.349,16.18,12.98,4.799,0.76906,0.066765,0.070324
600,3.836,15.04,12.91,4.416,0.76581,0.066639,0.070114
601,3.43,13.97,12.86,4.069,0.76257,0.066512,0.069902
602,3.1,12.97,12.82,3.756,0.75933,0.066385,0.069687
603,2.814,12.05,12.78,3.476,0.75608,0.066258,0.069471
604,2.564,11.22,12.76,3.224,0.75281,0.06613,0.069253
605,2.346,10.48,12.75,2.996,0.74952,0.066002,0.069032
606,2.156,9.808,12.76,2.788,0.7462,0.065874,0.06881
607,1.989,9.21,12.78,2.6,0.74283,0.065745,0.068585
608,1.84,8.676,12.8,2.428,0.73941,0.065616,0.068359
609,1.707,8.204,12.84,2.269,0.73593,0.065486,0.068132
610,1.588,7.784,12.89,2.12,0.73238,0.065357,0.067902
611,1.481,7.408,12.95,1.979,0.72875,0.065227,0.067672
612,1.384,7.072,13.03,1.858,0.72503,0.065097,0.067439
613,1.298,6.773,13.13,1.765,0.72121,0.064967,0.067205
614,1.22,6.508,13.25,1.688,0.71729,0.064836,0.06697
615,1.149,6.271,13.38,1.612,0.71326,0.064706,0.066734
616,1.084,6.056,13.52,1.536,0.7091,0.064575,0.066496
617,1.023,5.857,13.68,1.462,0.70482,0.064445,0.066257
618,0.968,5.672,13.86,1.392,0.70042,0.064314,0.066017
619,0.9181,5.5,14.05,1.326,0.69591,0.064183,0.065776
620,0.872,5.344,14.23,1.264,0.6913,0.064053,0.065534
621,0.8282,5.206,14.41,1.205,0.68661,0.063922,0.065291
622,0.788,5.08,14.6,1.148,0.68184,0.063791,0.065047
623,0.7527,4.961,14.8,1.094,0.67701,0.063661,0.064803
624,0.72,4.848,14.98,1.044,0.67212,0.063531,0.064557
625,0.6876,4.745,15.13,0.9971,0.66719,0.063401,0.064311
626,0.656,4.652,15.26,0.952,0.66223,0.063271,0.064065
627,0.6265,4.569,15.39,0.9075,0.65724,0.063141,0.063818
628,0.6,4.48,15.5,0.864,0.65224,0.063012,0.06357
629,0.5769,4.375,15.58,0.8225,0.64724,0.062882,0.063323
630,0.556,4.266,15.62,0.784,0.64225,0.062753,0.063074
631,0.5358,4.168,15.63,0.7489,0.63728,0.062625,0.062826
632,0.516,4.088,15.6,0.716,0.63233,0.062497,0.062577
633,0.4967,4.03,15.53,0.6838,0.62743,0.062369,0.062329
634,0.48,3.984,15.42,0.652,0.62258,0.062241,0.06208
635,0.4673,3.94,15.27,0.6208,0.61779,0.062114,0.061831
636,0.456,3.896,15.07,0.592,0.61307,0.061988,0.061583
637,0.4437,3.852,14.81,0.567,0.60844,0.061862,0.061334
